特徵組合,特徵數,MCC,MCC_std,AUC,Recall,ΔMCC
完整特徵（基準）,11,0.8076,0.0227,0.992,0.7545,0.0
只用原始特徵,7,0.7193,0.0286,0.9857,0.6242,-0.0883
只用衍生特徵,4,0.5816,0.0343,0.9744,0.5121,-0.2259
移除 Power,10,0.7882,0.0157,0.99,0.7091,-0.0193
移除 Power wear,10,0.7969,0.0341,0.9912,0.7242,-0.0107
移除 Temperature difference,10,0.7967,0.049,0.9896,0.7364,-0.0109
移除 Temperature power,10,0.8071,0.0241,0.9924,0.7515,-0.0005
移除 Air temperature [K],10,0.8098,0.0292,0.9915,0.7485,0.0022
移除 Process temperature [K],10,0.8136,0.0142,0.9925,0.7545,0.0061
移除 Rotational speed [rpm],10,0.7446,0.0282,0.9876,0.6636,-0.063
移除 Torque [Nm],10,0.8117,0.0197,0.9921,0.7515,0.0041
移除 Tool wear [min],10,0.828,0.0299,0.9888,0.7758,0.0205
移除 Type_L,10,0.8052,0.026,0.9908,0.7455,-0.0023
移除 Type_M,10,0.8086,0.0175,0.9918,0.7515,0.0011
